ticker,episode_id,start_time,end_time,duration,direction,total_return,pullback_pct,lr_slope_5,lr_slope_5_norm,avg_volume,max_volume,avg_rsi,avg_volatility,obv_change,avg_vwap,price_start,price_end,price_delta,rsi_start,rsi_end,vwap_start,vwap_end,obv_start,obv_end,ema_start,ema_end,bb_upper_start,bb_upper_end,bb_middle_start,bb_middle_end,bb_lower_start,bb_lower_end,cluster,regime_label
NVDA,NVDA_2024-06-06T11:00:00_2024-06-10T13:00:00,2024-06-06T11:00:00,2024-06-10T13:00:00,35,down,-0.9050421517462867,,-26.64691431372549,-0.021394551837595737,5008756.028571429,59993496,40.58507372322964,0.01343900947640443,-54899313,691.1481086218796,1245.5,118.27,-1127.23,85.10182207931416,2.2548780741370393,686.8678287968113,688.7201601447366,552054322,497155009,1224.5051923503192,580.0193189542626,1260.579785931547,1871.613887693612,1212.4081449999999,878.44074,1164.2365040684529,-114.73240769361212,2,Moderate/Sideways regime
NVDA,NVDA_2024-06-10T13:00:00_2024-06-20T12:00:00,2024-06-10T13:00:00,2024-06-20T12:00:00,112,up,0.1884670668808659,,0.16044030691563876,0.0013565596255655599,17853351.339285713,65075854,58.0056861646729,0.010016312141947845,376411592,631.342802116841,118.27,140.56,22.290000000000006,2.2548780741370393,84.2904683113648,688.7201601447366,585.3859426761586,497155009,873566601,580.0193189542626,137.4884421165312,1871.613887693612,141.69246636025144,878.44074,135.73937500000002,-114.73240769361212,129.7862836397486,2,Moderate/Sideways regime
NVDA,NVDA_2024-06-20T12:00:00_2024-06-24T23:00:00,2024-06-20T12:00:00,2024-06-24T23:00:00,44,down,-0.17081673306772915,,-0.4464685200845665,-0.003176355436002892,37297932.52272727,220064338,30.644790680212846,0.01872320822961364,-955125575,550.9233472010574,140.56,116.55,-24.010000000000005,84.2904683113648,16.63835982045356,585.3859426761586,523.9164028872356,873566601,-81558974,137.4884421165312,119.74209087182322,141.69246636025144,129.05979830982685,135.73937500000002,121.80359000000001,129.7862836397486,114.54738169017318,0,Deep Downtrend regime
NVDA,NVDA_2024-06-24T23:00:00_2024-07-11T12:00:00,2024-06-24T23:00:00,2024-07-11T12:00:00,179,up,0.1691977691977693,,0.05747508484506099,0.0004931367211073444,17191962.094972067,70314465,56.13399230800076,0.011461068072458573,615168007,476.4778643729117,116.55,136.27,19.720000000000013,16.63835982045356,73.8282164209276,523.9164028872356,443.59763312575757,-81558974,533609033,119.74209087182322,135.1991660981194,129.05979830982685,136.90001397068005,121.80359000000001,134.76049499999996,114.54738169017318,132.62097602931988,1,Strong Uptrend regime
NVDA,NVDA_2024-07-11T12:00:00_2024-07-30T16:00:00,2024-07-11T12:00:00,2024-07-30T16:00:00,213,down,-0.24693696338152205,,-0.09343440198588812,-0.0006856564319798056,18808380.28169014,140220732,40.36942717365095,0.013845812775230322,-1471193560,408.35124744848474,136.27,102.6199,-33.65010000000001,73.8282164209276,10.76978738083821,443.59763312575757,376.21711953565335,533609033,-937584527,135.1991660981194,108.91678401633773,136.90001397068005,116.58429989890452,134.76049499999996,110.71856000000002,132.62097602931988,104.85282010109553,0,Deep Downtrend regime
NVDA,NVDA_2024-07-30T16:00:00_2024-07-31T23:00:00,2024-07-30T16:00:00,2024-07-31T23:00:00,24,up,0.18222586457402512,,0.7964130869565217,0.007760805525600022,31141729.458333332,86010176,61.79186250729117,0.023008605110328147,216890081,371.50489246133344,102.6199,121.3199,18.700000000000003,10.76978738083821,90.3019063284338,376.21711953565335,367.0554309113807,-937584527,-720694446,108.91678401633773,116.46252340184478,116.58429989890452,123.06354362558099,110.71856000000002,113.546905,104.85282010109553,104.030266374419,1,Strong Uptrend regime
NVDA,NVDA_2024-07-31T23:00:00_2024-08-05T12:00:00,2024-07-31T23:00:00,2024-08-05T12:00:00,38,down,-0.23194793269694414,,-0.5580843527738264,-0.004600105611476983,27632505.342105262,89727123,40.720731981581174,0.02966936312330759,-322257205,360.0190301813938,121.3199,93.18,-28.139899999999997,90.3019063284338,27.73123646609308,367.0554309113807,354.11554743617904,-720694446,-1042951651,116.46252340184478,100.99483573443888,123.06354362558099,112.37622499631115,113.546905,103.29481500000001,104.030266374419,94.21340500368888,0,Deep Downtrend regime
NVDA,NVDA_2024-08-05T12:00:00_2024-08-26T09:00:00,2024-08-05T12:00:00,2024-08-26T09:00:00,238,up,0.4013736853402019,,0.14648104915394472,0.0015720224206261506,21888275.32352941,118657153,61.645235403158004,0.014492393202528915,1344995934,325.6515062929269,93.18,130.58,37.400000000000006,27.73123646609308,84.76995229239121,354.11554743617904,306.6119690771814,-1042951651,302044283,100.99483573443888,128.72411704904584,112.37622499631115,131.44111413253043,103.29481500000001,127.52224499999997,94.21340500368888,123.60337586746951,1,Strong Uptrend regime
NVDA,NVDA_2024-08-26T09:00:00_2024-09-06T15:00:00,2024-08-26T09:00:00,2024-09-06T15:00:00,135,down,-0.22145045183029566,,-0.2143742117842162,-0.0016417078555997563,24030386.081481483,93453222,41.73853331301982,0.015247891908487606,-988155775,296.09685359376755,130.58,101.663,-28.917000000000016,84.76995229239121,27.459517262450305,306.6119690771814,285.6558692347133,302044283,-686111492,128.72411704904584,105.12071692341067,131.44111413253043,109.48320090527625,127.52224499999997,106.02154999999998,123.60337586746951,102.5598990947237,0,Deep Downtrend regime
NVDA,NVDA_2024-09-06T15:00:00_2024-11-08T09:00:00,2024-09-06T15:00:00,2024-11-08T09:00:00,714,up,0.4706432035253729,,0.052152561069818776,0.0005129945119642228,16243067.7535014,135586369,54.19332199443721,0.00883111341316094,385803782,258.0440404816487,101.663,149.51,47.846999999999994,27.459517262450305,89.69754253308187,285.6558692347133,240.93731196980863,-686111492,-300307710,105.12071692341067,148.15913365834624,109.48320090527625,150.53959937245082,106.02154999999998,147.38406999999998,102.5598990947237,144.22854062754914,1,Strong Uptrend regime
NVDA,NVDA_2024-04-19T23:30:00_2024-06-06T11:00:00,2024-04-19T23:30:00,2024-06-06T11:00:00,1031,up,0.6439366015481016,,0.3695735855207907,0.00048651148638933014,1386233.4936954414,17219558,57.704995509562494,0.006642090144160245,185170777,864.5309746043578,759.64,1248.8,489.15999999999997,9.975174904084923,66.902699750312,840.4509181523156,943.7257355525715,-94660188,90510589,773.3002771366581,1235.7600394908702,830.5919985421679,1252.2312595701276,783.6482749999999,1232.921435,736.7045514578319,1213.6116104298724,2,Moderate/Sideways regime
NVDA,NVDA_2024-06-06T11:00:00_2024-06-10T13:30:00,2024-06-06T11:00:00,2024-06-10T13:30:00,70,down,-0.9052930813581038,,-13.389001263231563,-0.010721493644483956,2504378.0142857144,56116517,40.58660704044155,0.008948708434224878,-57816760,953.5136856175884,1248.8,118.27,-1130.53,66.902699750312,0.3422185447249433,943.7257355525715,928.2356213702965,90510589,32693829,1235.7600394908702,315.0201924735805,1252.2312595701276,1619.3133484052348,1232.921435,554.7836650000002,1213.6116104298724,-509.7460184052345,2,Moderate/Sideways regime
NVDA,NVDA_2024-06-10T13:30:00_2024-06-20T12:00:00,2024-06-10T13:30:00,2024-06-20T12:00:00,222,up,0.18905893295002962,,0.07969931367156367,0.0006738759928262762,8976421.315315315,59417614,59.498824846067734,0.006799921593488739,198595455,668.958985686951,118.27,140.63,22.36,0.3422185447249433,76.41723356009045,928.2356213702965,520.9274226657802,32693829,231289284,315.0201924735805,138.82645992888555,1619.3133484052348,141.7396809924144,554.7836650000002,137.86650000000003,-509.7460184052345,133.99331900758565,2,Moderate/Sideways regime
NVDA,NVDA_2024-06-20T12:00:00_2024-06-24T23:30:00,2024-06-20T12:00:00,2024-06-24T23:30:00,88,down,-0.17122946739671474,,-0.22220330386390053,-0.0015800562032560659,18648966.261363637,216749999,33.58892159033355,0.0124151768061799,-732267778,451.2553325666499,140.63,116.55,-24.08,76.41723356009045,29.156218655967848,520.9274226657802,402.7025943280319,231289284,-500978494,138.82645992888555,117.98798064149474,141.7396809924144,121.8988687139187,137.86650000000003,118.67384000000001,133.99331900758565,115.44881128608132,0,Deep Downtrend regime
NVDA,NVDA_2024-06-24T23:30:00_2024-07-11T12:30:00,2024-06-24T23:30:00,2024-07-11T12:30:00,357,up,0.1691977691977693,,0.028363342571351563,0.00024335772261991904,8618726.551820729,67107904,55.92261777074959,0.0076951988793872664,384536386,339.9678499429016,116.55,136.27,19.720000000000013,29.156218655967848,58.791145443016255,402.7025943280319,302.8346768428551,-500978494,-116442108,117.98798064149474,135.59826009505917,121.8988687139187,136.3393775221522,118.67384000000001,135.5721,115.44881128608132,134.8048224778478,1,Strong Uptrend regime
NVDA,NVDA_2024-07-11T12:30:00_2024-07-30T16:30:00,2024-07-11T12:30:00,2024-07-30T16:30:00,425,down,-0.24693696338152205,,-0.04643246775882823,-0.00034073873749782213,9417743.745882353,82115695,44.337362041368316,0.009250696959006072,-665587223,270.9918956707187,136.27,102.6199,-33.65010000000001,58.791145443016255,7.929471134031175,302.8346768428551,244.26309344761265,-116442108,-782029331,135.59826009505917,107.52307303061835,136.3393775221522,114.9930482546907,135.5721,109.317515,134.8048224778478,103.6419817453093,0,Deep Downtrend regime
NVDA,NVDA_2024-07-30T16:30:00_2024-07-31T23:00:00,2024-07-30T16:30:00,2024-07-31T23:00:00,46,up,0.18388343781274386,,0.39111878507554715,0.0038113346931301544,15662637.630434783,80905613,67.31524183003806,0.015986908581050986,144496316,240.72409144769648,102.6199,121.49,18.870099999999994,7.929471134031175,72.49492239040518,244.26309344761265,237.3680241869316,-782029331,-637533015,107.52307303061835,118.49432116978701,114.9930482546907,122.07031975177114,109.317515,117.22882,103.6419817453093,112.38732024822886,1,Strong Uptrend regime
NVDA,NVDA_2024-07-31T23:00:00_2024-08-05T13:00:00,2024-07-31T23:00:00,2024-08-05T13:00:00,77,down,-0.24240678245123048,,-0.28317556916767456,-0.002330854960636057,13776785.922077922,71290270,38.74414732686086,0.020202407795253355,-69111553,232.2135126100556,121.49,92.04,-29.44999999999999,72.49492239040518,9.940249864204233,237.3680241869316,227.7637485887121,-637533015,-706644568,118.49432116978701,97.24982756734161,122.07031975177114,112.60168069695615,117.22882,100.88100000000003,112.38732024822886,89.1603193030439,0,Deep Downtrend regime
NVDA,NVDA_2024-08-05T13:00:00_2024-08-26T10:00:00,2024-08-05T13:00:00,2024-08-26T10:00:00,475,up,0.4222077357670577,,0.07293555591510419,0.0007924332454922227,10923986.408421053,107879840,58.381347862591554,0.009805476193017642,647600722,208.71390967702843,92.04,130.9,38.86,9.940249864204233,89.93457473578283,227.7637485887121,197.66716452374652,-706644568,-59043846,97.24982756734161,129.76944273039197,112.60168069695615,131.13036059148357,100.88100000000003,129.28713499999998,89.1603193030439,127.44390940851639,1,Strong Uptrend regime
